month,formation_month,gross_return,portfolio_excess_return,benchmark_excess_return,traded_notional,formation_universe,finite_signal_count,n_holdings,n_bought,n_sold,gross_exposure,missing_forward_return_gross_weight,missing_total_return_gross_weight,path_status,net_return
2013-07-31,2013-06-30,0.023656526503837663,0.07873008762851896,0.0550735611246813,0.20258703257131352,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02345393947126635
2013-08-31,2013-07-31,-0.006100753134736063,-0.03301559434121856,-0.0269148412064825,0.171800330469351,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.006272553465205414
2013-09-30,2013-08-31,0.010956406729724845,0.046461893150698146,0.0355054864209733,0.19102906064109426,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.01076537766908375
2013-10-31,2013-09-30,-0.017170662306267154,0.025994530335818847,0.043165192642086,0.1995291499454445,1000,1000,50,5,5,1.0,0.02499197921006763,0.02499197921006763,ok,-0.0173701914562126
2013-11-30,2013-10-31,0.018831382402778957,0.048626644295098255,0.0297952618923193,0.20634519719943206,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018625037205579526
2013-12-31,2013-11-30,0.007509202468565044,0.035649526665055845,0.0281403241964908,0.18965370621305394,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.00731954876235199
2014-01-31,2013-12-31,0.03023109771640538,-0.0035052897589924158,-0.0337363874753978,0.16804124952382832,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.030063056466881552
2014-02-28,2014-01-31,0.02587004901612324,0.07248491418674524,0.046614865170622,0.1805312625639976,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.025689517753559245
2014-03-31,2014-02-28,-0.006881993566089619,-0.002126280399309819,0.0047557131667798,0.16540598174536594,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.007047399547834985
2014-04-30,2014-03-31,0.004272245786648395,0.005836213304594795,0.0015639675179464,0.17011434372092057,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.004102131442927474
2014-05-31,2014-04-30,0.020557361163315885,0.042380686474739186,0.0218233253114233,0.17040142711333095,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.020386959736202553
2014-06-30,2014-05-31,0.015669404549846257,0.03968657928096186,0.0240171747311156,0.1592998943673396,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.015510104655478918
2014-07-31,2014-06-30,-0.005403568256415452,-0.022382955390166853,-0.0169793871337514,0.1570883969011898,1000,1000,50,5,5,1.0,0.017141396132897484,0.017141396132897484,ok,-0.005560656653316642
2014-08-31,2014-07-31,0.03320433879539681,0.07513015499852431,0.0419258162031275,0.16917742659458318,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.033035161368802225
2014-09-30,2014-08-31,-0.03987675838438358,-0.05685213753495678,-0.0169753791505732,0.15544104407795845,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.040032199428461535
2014-10-31,2014-09-30,-0.015768858068545524,0.007163554452956176,0.0229324125215017,0.1498358669762805,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.015918693935521804
2014-11-30,2014-10-31,-0.019326744512510735,0.008506895967484863,0.0278336404799956,0.2015671095040856,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01952831162201482
2014-12-31,2014-11-30,0.013430752201592453,0.010653532229805954,-0.0027772199717865,0.15182824730870892,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.013278923954283744
2015-01-31,2014-12-31,0.006092850267158709,-0.02340695525192479,-0.0294998055190835,0.1601190279479664,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.0059327312392107425
2015-02-28,2015-01-31,0.010032557009112764,0.07017736130020466,0.0601448042910919,0.1662101945053196,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.009866346814607444
2015-03-31,2015-02-28,0.01844605491197686,0.00563902559440326,-0.0128070293175736,0.16155405445908322,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.018284500857517774
2015-04-30,2015-03-31,-0.008642978255377057,-0.0009705972840430579,0.007672380971334,0.160570874529852,1000,1000,50,5,5,1.0,0.06012880665407545,0.06012880665407545,ok,-0.008803549129906909
2015-05-31,2015-04-30,0.013367202200669089,0.02657361617383259,0.0132064139731635,0.2208413485284615,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.013146360852140628
2015-06-30,2015-05-31,-0.006554753389924742,-0.02373569826659964,-0.0171809448766749,0.17017662718567747,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0067249300171104195
2015-07-31,2015-06-30,-0.0185159041261712,0.00024911098898139865,0.0187650151151526,0.19756830540758663,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.01871347243157879
2015-08-31,2015-07-31,-0.0037596210683455006,-0.0636133237288624,-0.0598537026605169,0.1557162678760628,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.003915337336221563
2015-09-30,2015-08-31,-0.046155558737857844,-0.07412154365780654,-0.0279659849199487,0.17111161668840863,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.046326670354546254
2015-10-31,2015-09-30,-0.016400399149636764,0.06243423626326714,0.0788346354129039,0.15153267580502133,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.016551931825441787
2015-11-30,2015-10-31,-0.022987833100446074,-0.019609050551557174,0.0033787825488889,0.23016589005067173,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.023217998990496747
2015-12-31,2015-11-30,-0.002307069888638217,-0.021714636418609018,-0.0194075665299708,0.14024962154867857,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0024473195101868957
2016-01-31,2015-12-31,-0.08210024710368785,-0.13606950897885756,-0.0539692618751697,0.14641283886410858,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.08224665994255195
2016-02-29,2016-01-31,-0.01903981054409393,-0.01995182045390733,-0.0009120099098134,0.1709645946652531,1000,1000,50,5,5,1.0,0.01785468392189443,0.01785468392189443,ok,-0.019210775138759184
2016-03-31,2016-02-29,-0.01965544858875342,0.048563241635397984,0.0682186902241514,0.14727056745088649,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.019802719156204306
2016-04-30,2016-03-31,-0.009461734874407003,-0.0020978825544389025,0.0073638523199681,0.15801368544364225,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.009619748559850646
2016-05-31,2016-04-30,0.014542041806355235,0.032779835681881635,0.0182377938755264,0.22090284378766242,1000,1000,50,5,5,1.0,0.02071062980914293,0.02071062980914293,ok,0.014321138962567571
2016-06-30,2016-05-31,-0.031616239544179824,-0.03167413826132156,-5.7898717141733984e-05,0.197321841886773,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0318135613860666
2016-07-31,2016-06-30,0.041225205425480346,0.07909121203572005,0.0378660066102397,0.14429844589127855,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.04108090697958907
2016-08-31,2016-07-31,0.0002528032432755202,0.0038601682900274202,0.0036073650467519,0.17938542305368982,1000,1000,50,5,5,1.0,0.0,0.0,ok,7.341782022183036e-05
2016-09-30,2016-08-31,0.021578233886287372,0.02309298082411457,0.0015147469378272,0.18361445509502405,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.02139461943119235
2016-10-31,2016-09-30,-0.016636471016076713,-0.03427704266120411,-0.0176405716451274,0.18172689893605964,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.016818197915012774
2016-11-30,2016-10-31,0.05551285754325621,0.09971467827572131,0.0442018207324651,0.18612892870499043,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.05532672861455122
2016-12-31,2016-11-30,-0.00739867393195452,0.01043425926396688,0.0178329331959214,0.16043993493823078,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.007559113866892751
2017-01-31,2016-12-31,0.011241442048304271,0.03164262155853327,0.020401179510229,0.18066506593856343,1000,1000,50,5,5,1.0,0.0,0.0,ok,0.011060776982365707
2017-02-28,2017-01-31,-0.023103545801153744,0.013914786111671858,0.0370183319128256,0.20800565756765624,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.0233115514587214
2017-03-31,2017-02-28,-0.00971980010567584,-0.00826852817041534,0.0014512719352605,0.15097628302969113,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.00987077638870553
2017-04-30,2017-03-31,-0.02102244423018486,-0.01011272693183696,0.0109097172983479,0.16421633258798776,1000,1000,50,5,5,1.0,0.0,0.0,ok,-0.021186660562772845
