step,seed_alpha,best_offspring,best_reward,mean_group_reward,group_reward_std,elite_pool_size,sampling_entropy,nonzero_feature_logits,nonzero_operator_logits
113,pair_product__ret_6_1__be_me,pair_product__ret_1_0__ret_6_1,0.6258333333333332,0.5134418376484501,0.09658968201156991,20,3.8311489354792303,12,4
114,pair_product__ret_12_1__be_me,pair_product__ret_12_1__z_score,0.613250157512744,0.5845709333864195,0.020537859194189795,20,3.811936953955206,12,4
115,pair_product__ret_6_1__be_me,pair_difference__ret_6_1__ocf_at,0.7108616330027837,0.5935546313819692,0.06907470020637847,20,3.76891697841174,12,4
116,pair_difference__rvol_21d__beta_60m,pair_product__ret_3_1__beta_60m,0.6472296818826496,0.5923679514451881,0.07766228307431038,20,3.821982889905123,12,4
117,pair_product__ret_12_1__rvol_21d,pair_difference__ret_12_1__rvol_21d,0.6824705056995323,0.5931202238291153,0.0679477993789933,20,3.80713646400625,12,4
118,pair_product__ret_6_1__gp_at,pair_product__gp_at__ocf_at,0.6725,0.5499130662282938,0.10129646942758123,20,3.881245111191292,12,4
119,pair_difference__ret_1_0__niq_su,pair_product__ret_12_1__niq_su,0.7584256884876934,0.6455923303209932,0.06692841971715387,20,3.8711555056297002,12,4
120,pair_product__gp_at__turnover_126d,pair_product__ret_12_1__turnover_126d,0.6959169639552439,0.5235333745583529,0.11037591655676739,20,3.8289390107535777,12,4
121,pair_product__ret_1_0__turnover_126d,pair_difference__ret_1_0__ocf_at,0.7192186608596102,0.576967404825705,0.10501797219551574,20,3.826045947774011,12,4
122,pair_difference__ret_6_1__ret_12_1,pair_product__ret_6_1__beta_60m,0.7788379248405537,0.6723091289409726,0.08117829063913384,20,3.8688718841721492,12,4
123,pair_product__ret_12_1__niq_su,pair_product__ret_12_1__turnover_126d,0.6414208339265717,0.5933132577030908,0.04893946085456347,20,3.7880776118615196,12,4
124,pair_product__ret_6_1__beta_60m,pair_difference__rvol_21d__beta_60m,0.6933333333333334,0.556387805728422,0.132558111376821,20,3.7168443316498854,12,4
125,pair_difference__ret_1_0__niq_su,pair_product__turnover_126d__niq_su,0.6455748744871452,0.6126044620354509,0.042718224502890124,20,3.7636552451530645,12,4
126,pair_difference__rvol_21d__beta_60m,pair_product__ocf_at__rvol_21d,0.7408634923182603,0.5871033457811448,0.10111768159896069,20,3.7677883653345616,12,4
127,pair_product__ret_6_1__gp_at,pair_difference__ret_6_1__ocf_at,0.6608616330027837,0.5617865678067645,0.07745210085474692,20,3.6765257987598066,12,4
128,pair_mean__ret_12_1__z_score,pair_product__ret_12_1__turnover_126d,0.7330875005932384,0.6661893828049557,0.059002110512401944,20,3.7061585730929014,12,4
129,pair_mean__ret_12_1__z_score,pair_product__ret_12_1__z_score,0.6424168241794107,0.5833634645424899,0.08027159040028427,20,3.6479076219617923,12,4
130,pair_product__ret_6_1__beta_60m,pair_product__ret_6_1__turnover_126d,0.7384627846860451,0.6161802893577913,0.1426507103267596,20,3.592573662443325,12,4
131,identity__ret_12_1,pair_difference__ret_3_1__ret_12_1,0.7466666666666666,0.69389987306758,0.04220192861692189,20,3.0170708042586036,12,4
132,pair_product__ret_1_0__turnover_126d,pair_difference__rvol_21d__turnover_126d,0.7630128016548164,0.6531330173150733,0.08647928797503211,20,3.7077636471772752,12,4
133,pair_product__ret_6_1__be_me,pair_product__be_me__ocf_at,0.6649378473608466,0.6240216395552362,0.046316568351944316,20,3.7012072680810304,12,4
134,pair_mean__ret_12_1__z_score,pair_product__ocf_at__z_score,0.8383651229728353,0.7140923619363712,0.07748526231917002,20,3.5951344674659675,12,4
135,pair_product__ret_1_0__z_score,pair_product__gp_at__z_score,0.6954989414809579,0.6349735456227861,0.056362359271821226,20,3.583477689078917,12,4
136,pair_product__z_score__niq_su,pair_product__ocf_at__z_score,0.6266666666666666,0.5850089892486362,0.047747085057079225,20,3.5869743715023406,12,4
137,pair_product__ret_1_0__turnover_126d,pair_product__ret_12_1__turnover_126d,0.6414208339265717,0.4882064099536743,0.09366972607607646,20,3.5859112591855085,12,4
138,pair_product__ocf_at__z_score,pair_difference__gp_at__ocf_at,0.6069748588738204,0.5205051511734349,0.08252911046022474,20,3.566713484732263,12,4
139,pair_product__ret_1_0__ret_6_1,pair_product__ret_6_1__be_me,0.6733333333333333,0.5815938040508377,0.11403673134417808,20,3.628218082083943,12,4
140,pair_product__gp_at__turnover_126d,pair_difference__ret_12_1__turnover_126d,0.6862785651002691,0.5785410621239573,0.10787965915605136,20,3.6613044026774935,12,4
141,pair_difference__rvol_21d__turnover_126d,pair_product__ret_6_1__rvol_21d,0.7417246809680995,0.6077260947979491,0.11068354544221183,20,3.7009316965389,12,4
142,pair_product__ret_1_0__ret_3_1,pair_product__ret_3_1__be_me,0.6003638819583607,0.5345400808980817,0.052012894542977146,20,3.594337724859905,12,4
143,identity__ret_12_1,pair_product__ret_12_1__turnover_126d,0.7164208339265717,0.6212648757036988,0.0817751155836999,20,2.9259179149977848,12,4
144,pair_product__ocf_at__z_score,pair_product__ocf_at__rvol_21d,0.6014593559633975,0.5810825735579052,0.016031834248508996,20,3.5191740270469865,12,4
145,pair_product__ret_1_0__z_score,pair_product__ret_12_1__z_score,0.6799168241794107,0.5785165392420547,0.0950785276061082,20,3.5394732090095102,12,4
146,pair_product__ret_1_0__turnover_126d,pair_product__ret_3_1__turnover_126d,0.6321149161775342,0.5503884917218076,0.051259613321248905,20,3.537519935965446,12,4
147,pair_difference__ret_1_0__niq_su,pair_product__ret_12_1__niq_su,0.6834256884876935,0.5748530829492966,0.06755769845873488,20,3.510621654701823,12,4
148,pair_product__z_score__niq_su,pair_product__ocf_at__z_score,0.5766666666666667,0.5228529382130567,0.041752257023713865,20,3.4962983156061145,12,4
149,pair_product__ret_6_1__be_me,pair_product__ret_6_1__turnover_126d,0.6717961180193784,0.5853033379602376,0.08593336251592133,20,3.486835434028844,12,4
150,pair_mean__ret_12_1__z_score,pair_product__gp_at__z_score,0.6954989414809579,0.6330760180323516,0.04691009430093776,20,3.4186027314741056,12,4
