formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
2018-10-31,2018-04-30,2013-05-31,2018-04-30,60,uptrend,fundamental_miner__identity__gp_at|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__turnover_126d|fundamental_miner__pair_mean__be_me__f_score|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|technical_miner,5,1000
2018-11-30,2018-05-31,2013-06-30,2018-05-31,60,uptrend,fundamental_miner__identity__gp_at|technical_miner__pair_mean__ret_6_1__turnover_126d|fundamental_miner__pair_mean__be_me__f_score|technical_miner__identity__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|technical_miner,5,1000
2018-12-31,2018-06-30,2013-07-31,2018-06-30,60,downtrend,fundamental_miner__identity__gp_at|technical_miner__pair_mean__ret_6_1__turnover_126d|fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-01-31,2018-07-31,2013-08-31,2018-07-31,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__f_score|technical_miner__identity__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-02-28,2018-08-31,2013-09-30,2018-08-31,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__f_score|technical_miner__identity__ret_6_1|fundamental_miner__identity__f_score,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-03-31,2018-09-30,2013-10-31,2018-09-30,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__gp_at|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__identity__f_score|technical_miner__pair_mean__prc_highprc_252d__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-04-30,2018-10-31,2013-11-30,2018-10-31,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__gp_at|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__identity__f_score|technical_miner__pair_mean__prc_highprc_252d__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-05-31,2018-11-30,2013-12-31,2018-11-30,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__identity__gp_at|fundamental_miner__identity__f_score|technical_miner__pair_mean__prc_highprc_252d__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-06-30,2018-12-31,2014-01-31,2018-12-31,60,uptrend,fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__gp_at|fundamental_miner__identity__f_score|technical_miner__pair_mean__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-07-31,2019-01-31,2014-02-28,2019-01-31,60,uptrend,fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|fundamental_miner__identity__gp_at|fundamental_miner__identity__f_score|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
