evaluation,generation,operator,mutation_scope,expression,node_count,training_mean_rankic,training_direction,training_rankic_months,validation_rankic_months,valid_candidate,validation_mean_oriented_rankic,complexity_penalty,training_fitness,survives_final_population,selected_final
134,13,crossover,,"mean(mean(product(product(prc_highprc_252d,prc_highprc_252d),mean(turnover_126d,prc_highprc_252d)),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,difference(prc_highprc_252d,ret_12_1)))",17,0.012257538782732924,1,96,24,True,0.027524444782864112,0.0016,0.010657538782732923,False,False
135,13,crossover,,"mean(mean(product(ret_6_1,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(ret_6_1,rvol_21d))",11,-0.015533406002210995,-1,96,24,True,-0.007760355728249284,0.001,0.014533406002210994,False,False
136,13,crossover,,"mean(mean(product(ret_6_1,ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04309665723414926,-1,96,24,True,0.032581173915257736,0.001,0.04209665723414926,False,False
137,13,crossover,,"mean(mean(product(ret_12_1,ret_12_1),ret_12_1),difference(prc_highprc_252d,ret_12_1))",9,-0.02212488219430804,-1,96,24,True,0.02240741636823924,0.0008,0.021324882194308042,False,False
138,13,crossover,,"mean(mean(ret_6_1,difference(ret_6_1,rvol_21d)),ret_6_1)",7,-0.012949432046227978,-1,96,24,True,-0.008768101999257339,0.0006000000000000001,0.012349432046227979,False,False
139,13,crossover,,"mean(mean(product(ret_6_1,ret_12_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",11,-0.04309665723414926,-1,96,24,True,0.032581173915257736,0.001,0.04209665723414926,False,False
140,13,crossover,,"mean(mean(product(difference(prc_highprc_252d,ret_12_1),ret_6_1),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,ret_12_1))",13,-0.044504501314972,-1,96,24,True,0.0383968844935111,0.0012000000000000001,0.043304501314972,False,False
141,14,mutation,root,"product(difference(difference(turnover_126d,turnover_126d),difference(ret_12_1,rvol_21d)),ret_6_1)",9,-0.013881716387675457,-1,96,24,True,0.027958333368451244,0.0008,0.013081716387675456,False,False
142,14,mutation,root,"difference(turnover_126d,rvol_21d)",3,-0.00015313833970740745,-1,96,24,True,0.007273904148315555,0.0002,-4.686166029259256e-05,False,False
143,14,mutation,fine,"mean(mean(product(ret_6_1,prc_highprc_252d),difference(ret_6_1,rvol_21d)),difference(prc_highprc_252d,rvol_21d))",11,-0.01517184325361007,-1,96,24,True,0.0011730132957083219,0.001,0.01417184325361007,False,False
