formation_month,procedural_start,procedural_end,procedural_months,cvar_coverage,cvar_alerts,finite_scores,analyst_rankic__market,belief_weight__market,analyst_rankic__fundamental,belief_weight__fundamental,analyst_rankic__attention,belief_weight__attention,analyst_rankic__risk,belief_weight__risk
2014-08-31,2009-08-31,2014-07-31,60,877,2,802,0.003354213520603112,0.24982644754215466,0.016430740170140245,0.2540861398571095,-0.00937459157105565,0.24845352397480203,-0.009065609782521612,0.24763388862593383
2014-09-30,2009-09-30,2014-08-31,60,875,41,798,0.007551736466972848,0.25026816712811295,0.015187074214123018,0.25394502447956047,-0.01383674131731711,0.24790745981662138,-0.004353816246053402,0.2478793485757052
2014-10-31,2009-10-31,2014-09-30,60,878,26,801,0.0062036388644588865,0.2505781523891977,0.012047928834974206,0.2537043428814739,-0.010721652726407876,0.24775236534212325,-0.006946020423273023,0.24796513938720513
2014-11-30,2009-11-30,2014-10-31,60,874,30,795,0.007262079155607846,0.2507779223245209,0.013647436636275342,0.25352513246629926,-0.010076952909239966,0.2475783150236917,-0.003931533455137224,0.24811863018548813
2014-12-31,2009-12-31,2014-11-30,60,863,22,783,0.009323582890228011,0.25098197802313205,0.01404620448553635,0.25334013413858936,-0.010855563079158527,0.24732575417384908,-0.0008293748613508174,0.24835213366442954
2015-01-31,2010-01-31,2014-12-31,60,860,76,781,0.015650815437290425,0.25136045370230603,0.01589427736139461,0.2531444409430851,-0.0074851654256658335,0.24717461560826506,-0.0014062783976084888,0.24832048974634385
2015-02-28,2010-02-28,2015-01-31,60,865,26,787,0.008619652336116309,0.25137174022655356,0.014369035156716507,0.2530721281990952,-0.010070738477843226,0.24706855431405597,-0.001039842643595485,0.24848757726029536
2015-03-31,2010-03-31,2015-02-28,60,866,13,786,0.011297212715068328,0.2515364236764325,0.013888333930555004,0.25297518672940583,-0.011900297783727226,0.24686423698945295,-0.0006638501634589746,0.24862415260470858
2015-04-30,2010-04-30,2015-03-31,60,867,30,799,0.004809596067964397,0.25137795252199785,0.014969475871065849,0.2530975580822164,-0.014975799858403704,0.2466449577642417,-0.0002123897015896293,0.24887953163154408
2015-05-31,2010-05-31,2015-04-30,60,866,14,797,0.008669581162341174,0.2515516842092098,0.009151155469641495,0.25287174364350073,-0.014236568253045138,0.24657484043678893,-0.002117619765092943,0.24900173171050058
2015-06-30,2010-06-30,2015-05-31,60,860,38,791,0.012814060838994227,0.2518672358781563,0.006777651316325387,0.2524769076074195,-0.009644417004614216,0.24673096998504185,-0.003614911663322752,0.2489248865293825
2015-07-31,2010-07-31,2015-06-30,60,851,51,778,0.019356868553928003,0.25235287364446723,0.007966828861774265,0.2520915019102946,-0.012699902796251767,0.24649885106758276,0.00204000379548372,0.24905677337765542
