paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v1,benchmark,13,XGB,11,FF100,MDD,0.516,,False,False,False,version_specific_result
v1,benchmark,13,XGB,12,FF100MEOP,CW,355.87,,False,False,False,version_specific_result
v1,benchmark,13,XGB,13,FF100MEOP,SR,0.204,,False,False,False,version_specific_result
v1,benchmark,13,XGB,14,FF100MEOP,MDD,0.505,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,0,FF25,CW,601.250,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,1,FF25,SR,0.240,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,2,FF25,MDD,0.583,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,3,FF32,CW,744.910,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,4,FF32,SR,0.249,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,5,FF32,MDD,0.550,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,6,FF49,CW,171.950,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,7,FF49,SR,0.223,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,8,FF49,MDD,0.445,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,9,FF100,CW,415.540,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,10,FF100,SR,0.222,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,11,FF100,MDD,0.573,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,12,FF100MEOP,CW,306.340,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,13,FF100MEOP,SR,0.223,,False,False,False,version_specific_result
v1,benchmark,14,mSSRM-PGA,14,FF100MEOP,MDD,0.502,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,0,FF25,CW,676.350,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,1,FF25,SR,0.252,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,2,FF25,MDD,0.500,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,3,FF32,CW,690.990,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,4,FF32,SR,0.243,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,5,FF32,MDD,0.466,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,6,FF49,CW,526.840,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,7,FF49,SR,0.235,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,8,FF49,MDD,0.453,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,9,FF100,CW,523.490,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,10,FF100,SR,0.230,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,11,FF100,MDD,0.526,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,12,FF100MEOP,CW,518.800,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,13,FF100MEOP,SR,0.227,,False,False,False,version_specific_result
v1,benchmark,15,ASMCVaR,14,FF100MEOP,MDD,0.505,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,0,FF25,CW,546.030,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,1,FF25,SR,0.246,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,2,FF25,MDD,0.507,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,3,FF32,CW,715.550,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,4,FF32,SR,0.239,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,5,FF32,MDD,0.535,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,6,FF49,CW,586.140,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,7,FF49,SR,0.231,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,8,FF49,MDD,0.505,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,9,FF100,CW,983.840,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,10,FF100,SR,0.233,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,11,FF100,MDD,0.549,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,12,FF100MEOP,CW,371.130,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,13,FF100MEOP,SR,0.206,,False,False,False,version_specific_result
v1,benchmark,16,EFS-DeepSeek,14,FF100MEOP,MDD,0.530,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,0,FF25,CW,1049.530,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,1,FF25,SR,0.254,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,2,FF25,MDD,0.496,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,3,FF32,CW,735.640,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,4,FF32,SR,0.231,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,5,FF32,MDD,0.537,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,6,FF49,CW,427.200,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,7,FF49,SR,0.187,,False,False,False,version_specific_result
