unique_measurement_id,paper_value,display_occurrences,native_reproduced_value,status,paper_result_credit
ablation_belief/NIO/without/SR,0.156,1,,not_reproduced_official_code_and_data_not_released,False
ablation_belief/NIO/without/MDD_pct,55.688,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_belief/P1 (TSLA, MSFT, PFE)/without/CR_pct",28.432,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_belief/P1 (TSLA, MSFT, PFE)/without/SR",1.181,1,,not_reproduced_official_code_and_data_not_released,False
"ablation_belief/P1 (TSLA, MSFT, PFE)/without/MDD_pct",27.535,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/B&H/CR_pct,-56.738,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/B&H/SR,-1.625,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/B&H/MDD_pct,52.077,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinCon/CR_pct,22.460,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinCon/SR,0.695,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinCon/MDD_pct,45.215,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/GA/CR_pct,-51.251,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/GA/SR,-1.547,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/GA/MDD_pct,48.763,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinGPT/CR_pct,-20.035,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinGPT/SR,-0.805,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinGPT/MDD_pct,32.199,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinMem/CR_pct,-47.809,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinMem/SR,-1.549,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinMem/MDD_pct,49.560,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinAgent/CR_pct,-31.119,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinAgent/SR,-1.933,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/FinAgent/MDD_pct,33.224,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/A2C/CR_pct,-73.251,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/A2C/SR,-2.142,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/A2C/MDD_pct,56.998,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/PPO/CR_pct,-78.007,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/PPO/SR,-2.284,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/PPO/MDD_pct,59.003,1,,not_reproduced_official_code_and_data_not_released,False
extreme_single/TSLA/DQN/CR_pct,-8.452,1,,not_reproduced_official_code_and_data_not_released,False
